Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00   239988     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::max_size(std::allocator<Edge> const&)
  0.00      0.14     0.00   239988     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_max_size(std::allocator<Edge> const&)
  0.00      0.14     0.00   239988     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.14     0.00   239988     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_do_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&, std::integral_constant<bool, true>)
  0.00      0.14     0.00   239988     0.00     0.00  Edge* std::__relocate_a<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.14     0.00   239988     0.00     0.00  Edge* std::__relocate_a_1<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.14     0.00   200021     0.00     0.00  long long& std::forward<long long&>(std::remove_reference<long long&>::type&)
  0.00      0.14     0.00   147450     0.00     0.00  std::pair<long long, int>* std::__addressof<std::pair<long long, int> >(std::pair<long long, int>&)
  0.00      0.14     0.00   140456     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin()
  0.00      0.14     0.00   139994     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_deallocate(Edge*, unsigned long)
  0.00      0.14     0.00   120046     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.14     0.00   120025     0.00     0.00  std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > >::end()
  0.00      0.14     0.00   120022     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::difference_type __gnu_cxx::operator-<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >(__gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > > const&)
  0.00      0.14     0.00   119999     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      0.14     0.00   119998     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int> const*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::__normal_iterator(std::pair<long long, int> const* const&)
  0.00      0.14     0.00   119994     0.00     0.00  __gnu_cxx::new_allocator<Edge>::deallocate(Edge*, unsigned long)
