Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.12     0.00   126592     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::deallocate(std::allocator<Edge>&, Edge*, unsigned long)
  0.00      0.12     0.00   126591     0.00     0.00  __gnu_cxx::new_allocator<Edge>::deallocate(Edge*, unsigned long)
  0.00      0.12     0.00   125274     0.00     0.00  std::remove_reference<std::pair<long long, int>&>::type&& std::move<std::pair<long long, int>&>(std::pair<long long, int>&)
  0.00      0.12     0.00   123987     0.00     0.00  std::_Head_base<1ul, int, false>::_M_head(std::_Head_base<1ul, int, false>&)
  0.00      0.12     0.00   122947     0.00     0.00  std::tuple_element<2ul, std::tuple<int, int, long long> >::type&& std::get<2ul, int, int, long long>(std::tuple<int, int, long long>&&)
  0.00      0.12     0.00   121596     0.00     0.00  std::vector<long long, std::allocator<long long> >::operator[](unsigned long)
  0.00      0.12     0.00   120948     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_allocate(unsigned long)
  0.00      0.12     0.00   120913     0.00     0.00  __gnu_cxx::new_allocator<Edge>::allocate(unsigned long, void const*)
  0.00      0.12     0.00   120861     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::allocate(std::allocator<Edge>&, unsigned long)
  0.00      0.12     0.00   119877     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      0.12     0.00   119857     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin()
  0.00      0.12     0.00   119189     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.12     0.00   115681     0.00     0.00  int& std::__get_helper<1ul, int, long long>(std::_Tuple_impl<1ul, int, long long>&)
  0.00      0.12     0.00   111732     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::base() const
  0.00      0.12     0.00    98919     0.00     0.00  std::vector<long long, std::allocator<long long> >::operator[](unsigned long) const
  0.00      0.12     0.00    84172     0.00     0.00  std::pair<long long, int>::operator=(std::pair<long long, int>&&)
  0.00      0.12     0.00    81255     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  0.00      0.12     0.00    80018     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  0.00      0.12     0.00    80018     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_M_get()
  0.00      0.12     0.00    79995     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr()
  0.00      0.12     0.00    79995     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr()
  0.00      0.12     0.00    79995     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr()
